gene_name,family,species_label,container,n_samples,mean_rel_exp,median_rel_exp,max_rel_exp
SLCO2B1,SLCO,Macaque,Undefined,34,0.04549000034358773,0.030000492873411406,0.11036059671229752
SLCO2B1,SLCO,Macaque,UpperIleum,1,0.0028109724541418644,0.0028109724541418644,0.0028109724541418644
SLCO2B1,SLCO,Dog,BloodCells,1,0.011631718286699661,0.011631718286699661,0.011631718286699661
SLCO2B1,SLCO,Dog,Bone,1,0.12457330116887842,0.12457330116887842,0.12457330116887842
SLCO2B1,SLCO,Dog,Brain,43,0.0469451568686267,0.03855812614941901,0.14515240649920955
SLCO2B1,SLCO,Dog,Breasts,2,0.12037187358795505,0.12037187358795505,0.14544965719567612
SLCO2B1,SLCO,Dog,Caecum,13,0.014646202811503176,0.013492840475164181,0.03930852635614075
SLCO2B1,SLCO,Dog,Cartilage,1,0.24144302533314696,0.24144302533314696,0.24144302533314696
SLCO2B1,SLCO,Dog,ColonAscendens,13,0.014646202811503176,0.013492840475164181,0.03930852635614075
SLCO2B1,SLCO,Dog,ColonDescendens,13,0.014646202811503176,0.013492840475164181,0.03930852635614075
SLCO2B1,SLCO,Dog,ColonSigmoid,13,0.014646202811503176,0.013492840475164181,0.03930852635614075
SLCO2B1,SLCO,Dog,ColonTransversum,13,0.014646202811503176,0.013492840475164181,0.03930852635614075
SLCO2B1,SLCO,Dog,Duodenum,2,0.20891674376598388,0.20891674376598388,0.37085325127805174
SLCO2B1,SLCO,Dog,Embryo,1,0.02636889300005508,0.02636889300005508,0.02636889300005508
SLCO2B1,SLCO,Dog,Eye,1,0.1347967621020261,0.1347967621020261,0.1347967621020261
SLCO2B1,SLCO,Dog,Fat,10,0.09115541873718934,0.07415137080754487,0.20020849794397558
SLCO2B1,SLCO,Dog,Gonads,24,0.15461159267456895,0.14553221408380507,0.38477870689937377
SLCO2B1,SLCO,Dog,Heart,24,0.009830608819756188,0.005034056174932754,0.05294100226554316
SLCO2B1,SLCO,Dog,Kidney,12,0.01349267837054621,0.012328844811354076,0.029611509530952915
SLCO2B1,SLCO,Dog,LargeIntestine,13,0.014646202811503176,0.013492840475164181,0.03930852635614075
SLCO2B1,SLCO,Dog,LowerIleum,2,0.20891674376598388,0.20891674376598388,0.37085325127805174
SLCO2B1,SLCO,Dog,LowerJejunum,3,0.174887055503784,0.10682767897938424,0.37085325127805174
SLCO2B1,SLCO,Dog,Lung,15,0.094020844515983,0.11624948631704228,0.18451924205047252
SLCO2B1,SLCO,Dog,LymphNode,5,0.19250800011128882,0.2166119236121281,0.2549589249562494
SLCO2B1,SLCO,Dog,Muscle,15,0.01275082308026155,0.009591807133655187,0.026148552688625613
SLCO2B1,SLCO,Dog,Pancreas,3,0.014525858185341809,0.010350640942752828,0.02567960089603769
SLCO2B1,SLCO,Dog,Pericentral,28,0.48126554555132434,0.4607170198544042,1
SLCO2B1,SLCO,Dog,Periportal,28,0.48126554555132434,0.4607170198544042,1
SLCO2B1,SLCO,Dog,Placenta,1,0.18568016042008523,0.18568016042008523,0.18568016042008523
SLCO2B1,SLCO,Dog,Rectum,13,0.014646202811503176,0.013492840475164181,0.03930852635614075
SLCO2B1,SLCO,Dog,SalivaryGland,1,0.0042932457962314655,0.0042932457962314655,0.0042932457962314655
SLCO2B1,SLCO,Dog,Skin,25,0.05788122700768471,0.05714222631759635,0.1331453341582388
SLCO2B1,SLCO,Dog,SmallIntestine,3,0.174887055503784,0.10682767897938424,0.37085325127805174
SLCO2B1,SLCO,Dog,Spleen,12,0.5365930332566885,0.4471024810836837,0.9621493302941665
SLCO2B1,SLCO,Dog,Stomach,2,0.10004534821774694,0.10004534821774694,0.1707767498624246
SLCO2B1,SLCO,Dog,Thymus,1,0.07406202684499064,0.07406202684499064,0.07406202684499064
